,titles,publishers,authors,years
400,"The ASEAN success story : social, economic, and political dimensions : based on the East-West Center's 25th Anniversary Conference on ASEAN and the Pacific Basin, held in Honolulu, Hawaii from 29 October to 1 November 1985","Honolulu, Hawaii : The East-West Center 1987",edited by Linda G. Martin,1987
401,Psychometrics : an introduction,Second edition Thousand Oaks : SAGE 2014,"R. Michael Furr, Wake Forest University; Verne R. Bacharach, Appalachian State University",2014
402,天水圍的日與夜 [錄像資料] = The way we are,香港 : 名威影業有限公司 : 千勣企業有限公司 2008,漢電影 ; 影王朝 ; 製作卡士有限公司 ; 監製導演許鞍華 ; 編劇呂筱華,2008
403,中國的宗族與戲劇,第1版 上海 : 上海古籍出版社 1992,"田仲一成著 ; 錢杭, 任余白譯",1992
404,Readings in urban theory,"3rd ed Chicester, West Sussex ; Malden, MA : Wiley-Blackwell 2011",edited by Susan S. Fainstein and Scott Campbell,2011
405,The common good and Christian ethics,"Cambridge, UK ; New York : Cambridge University Press 2002",David Hollenbach,2002
406,A guide to doing statistics in second language research using SPSS and R,"Second edition New York, NY : Routledge 2016","Jenifer Larson-Hall, Fukuoka JoGakuin University",2016
407,Education and national development : a comparative perspective,2nd ed Oxford ; New York : Pergamon 1989,by Ingemar Fägerlind and Lawrence J. Saha,1989
408,The geographical analysis of population : with applications to planning and business,New York : J. Wiley c1994,"David A. Plane, Peter A. Rogerson",1994
409,媒介文化論 : 給媒介學習者的15講,1版 台北市 : 群學出版有限公司 2009,吉見俊哉 ; 蘇碩斌譯,2009
410,Economic development,Twelfth edition Boston : Pearson 2015,"Michael P. Todaro, New York University, Stephen C. Smith, the George Washington University",2015
411,The rule of law,London : Penguin 2011,Tom Bingham,2011
412,リトル・ピープルの時代,東京 : 幻冬舎 2011,宇野常寬,2011
413,Cities in a world economy,"4th ed Thousand Oaks, Calif. : SAGE/Pine Forge c2012",Saskia Sassen,2012
414,Geographies of development,"2nd ed Harlow, England ; New York : Pearson/Prentice Hall 2004",Robert B. Potter ... [et al.],2004
415,Development and underdevelopment : the political economy of global inequality,"2nd ed Boulder, Colo. : Lynne Rienner Publishers 1998","edited by Mitchell A. Seligson, John T. Passé-Smith",1998
416,Parents and children,"Aldershot, England ; Burlington, VT : Ashgate c2008",edited by Andrew Bainham,2008
417,World poverty : new policies to defeat an old enemy,Bristol : Policy Press 2002,edited by Peter Townsend and Dave Gordon,2002
418,World hunger : 12 myths,"2nd ed. fully rev. and updated New York : Grove Press ; Emeryville, CA : Distributed by Publishers Group West c1998","Frances Moore Lappé, Joseph Collins, and Peter Rosset ; with Luis Esparza",1998
419,Excavating the afterlife [electronic resource] : the archaeology of early Chinese religion,Seattle : University of Washington Press 2015,Guolong Lai,2015
420,The social visions of the Hebrew Bible : a theological introduction,"1st ed Louisville, Ky. : Westminster John Knox ©2001",J. David Pleins,2001
421,"A political sociology of educational reform : power/knowledge in teaching, teacher education, and research",New York : Teachers College Press c1991,Thomas S. Popkewitz,1991
422,Boundaries and allegiances : problems of justice and responsibility in liberal thought,Oxford ; New York : Oxford University Press 2001,"Samuel Scheffler, by Samuel Scheffler",2001
423,Durkheim,2nd ed London : Fontana Press 1986,Anthony Giddens,1986
424,樂猶如此,初版 香港 : 國際演藝評論家協會香港分會 2005,余少華 = Such are the fading sounds / Yu Siu-wah,2005
425,Law and practice of international finance,University edition London : Sweet & Maxwell 2008,by Philip R. Wood,2008
